13,BRANCH,SERVICE HOURS,ADDRESS,CITY,STATE,ZIP,PHONE,WEBSITE,BRANCH EMAIL,LAT,LNG,LAT_CLEAN,LNG_CLEAN
"-87.7064,41.8947","Daley, Richard M.","Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",733 N. Kedzie Ave.,Chicago,IL,60612,(312) 743-0555,https://www.chipublib.org/locations/24/,richardmdaley@chipublib.org,(41.894726658545295,-87.7063841773407),41.89472666,-87.70638418
"-87.7055,41.9103",Humboldt Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1605 N. Troy St.,Chicago,IL,60647,(312) 744-2244,https://www.chipublib.org/locations/36/,humboldtpark@chipublib.org,(41.910332307504966,-87.70551941016132),41.91033231,-87.70551941
"-87.6541,41.7573",Thurgood Marshall,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7506 S. Racine Ave.,Chicago,IL,60620,(312) 747-5927,https://www.chipublib.org/locations/68/,thurgoodmarshall@chipublib.org,(41.757343880012456,-87.6540643783153),41.75734388,-87.65406438
"-87.5892,41.8055",Blackstone,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4904 S. Lake Park Ave.,Chicago,IL,60615,(312) 747-0511,https://www.chipublib.org/locations/12/,blackstone@chipublib.org,(41.80549277198318,-87.58923748614112),41.80549277,-87.58923749
"-87.7338,41.9099",North Pulaski,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4300 W. North Ave.,Chicago,IL,60639,(312) 744-9573,https://www.chipublib.org/locations/55/,northpulaski@chipublib.org,(41.90989766464456,-87.73376822625004),41.90989766,-87.73376823
"-87.6683,41.8959",West Town,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1625 W. Chicago Ave.,Chicago,IL,60622,(312) 743-0450,https://www.chipublib.org/locations/79/,westtown@chipublib.org,(41.89594730478282,-87.66829305460979),41.8959473,-87.66829305
"-87.6963,41.9837",Budlong Woods,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5630 N. Lincoln Ave.,Chicago,IL,60659,(312) 742-9590,https://www.chipublib.org/locations/16/,budlongwoods@chipublib.org,(41.98369797603738,-87.69631576617253),41.98369798,-87.69631577
"-87.6581,41.9254",Lincoln Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1150 W. Fullerton Ave.,Chicago,IL,60614,(312) 744-1926,https://www.chipublib.org/locations/44/,lincolnpark@chipublib.org,(41.92540663614013,-87.65806218385674),41.92540664,-87.65806218
"-87.6684,41.7793",West Englewood,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1745 W. 63rd St.,Chicago,IL,60651,(312) 747-3481,https://www.chipublib.org/locations/76/,westenglewood@chipublib.org,(41.77928203936906,-87.66843344429459),41.77928204,-87.66843344
"-87.7265,41.8011",Archer Heights,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5055 S. Archer Ave.,Chicago,IL,60632,(312) 747-9241,https://www.chipublib.org/locations/5/,archerheights@chipublib.org,(41.80110836194246,-87.72648385568911),41.80110836,-87.72648386
"-87.5488,41.6593",Hegewisch,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3048 E. 130th St.,Chicago,IL,60633,(312) 747-0046,https://www.chipublib.org/locations/35/,hegewisch@chipublib.org,(41.65927659861025,-87.54881978393514),41.6592766,-87.54881978
"-87.7200,41.9541",Independence,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4024 N. Elston Ave.,Chicago,IL,60618,(312) 744-0900,https://www.chipublib.org/locations/37/,independence@chipublib.org,(41.95413885986087,-87.7200155607629),41.95413886,-87.72001556
"-87.6612,41.8576",Lozano,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1805 S. Loomis St.,Chicago,IL,60608,(312) 746-4329,https://www.chipublib.org/locations/47/,lozano@chipublib.org,(41.857601233304614,-87.66116376475367),41.85760123,-87.66116376
"-87.6847,41.9630",Sulzer Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",4455 N. Lincoln Ave.,Chicago,IL,60625,(312) 744-7616,https://www.chipublib.org/locations/67/,sulzerregional@chipublib.org,(41.962966859427524,-87.68469465366664),41.96296686,-87.68469465
"-87.6320,41.8541",Chinatown,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2100 S. Wentworth Ave.,Chicago,IL,60616,(312) 747-8013,https://www.chipublib.org/locations/20/,chinatown@chipublib.org,(41.85412074173438,-87.63195792246246),41.85412074,-87.63195792
"-87.7102,41.8644",Douglass,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3353 W. 13th St.,Chicago,IL,60623,(312) 747-3725,https://www.chipublib.org/locations/25/,douglass@chipublib.org,(41.86441239309047,-87.71017465670012),41.86441239,-87.71017466
"-87.7035,41.9249",Logan Square,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3030 W. Fullerton Ave.,Chicago,IL,60647,(312) 744-5295,https://www.chipublib.org/locations/46/,logansquare@chipublib.org,(41.924860376546214,-87.7035190503226),41.92486038,-87.70351905
"-87.6733,42.0068",Rogers Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6907 N. Clark St.,Chicago,IL,60626,(312) 744-0156,https://www.chipublib.org/locations/61/,scottsdale@chipublib.org,(42.00682227244734,-87.67330813329413),42.00682227,-87.67330813
"-87.7979,41.9210",Galewood-Mont Clare,Closed until further notice,6871 W. Belden Ave.,Chicago,IL,60707,,https://www.chipublib.org/locations/30/,galewood-montclare@chipublib.org,(41.9210332601157,-87.79791005523576),41.92103326,-87.79791006
"-87.7860,41.9367",West Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",3104 N. Narragansett Ave.,Chicago,IL,60611,(312) 746-5142,https://www.chipublib.org/locations/74/,westbelmont@chipublib.org,(41.9366521886413,-87.78602401236114),41.93665219,-87.78602401
"-87.6803,41.9124",Bucktown-Wicker Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",1701 N. Milwaukee Ave.,Chicago,IL,60647,(312) 744-6022,https://www.chipublib.org/locations/15/,bucktown-wickerpark@chipublib.org,(41.91235487836141,-87.68029967133904),41.91235488,-87.68029967
"-87.6902,42.0051",Northtown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6800 N. Western Ave.,Chicago,IL,60645,(312) 744-2292,https://www.chipublib.org/locations/56/,northtown@chipublib.org,(42.00507612272344,-87.69021903022175),42.00507612,-87.69021903
"-87.6460,41.9401",Merlo,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",644 W. Belmont Ave.,Chicago,IL,60657,(312) 744-1139,https://www.chipublib.org/locations/51/,merlo@chipublib.org,(41.940131637508564,-87.64602857926714),41.94013164,-87.64602858
"-87.6432,41.6779",West Pullman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",830 W. 119th St.,Chicago,IL,60643,(312) 747-1425,https://www.chipublib.org/locations/78/,westpullman@chipublib.org,(41.67790647382097,-87.6431683153105),41.67790647,-87.64316832
"-87.6721,41.7212",Beverly,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1962 W. 95th St.,Chicago,IL,60643,(312) 747-9673,https://www.chipublib.org/locations/10/,beverly@chipublib.org,(41.72118978926962,-87.67214620967468),41.72118979,-87.67214621
"-87.7255,41.8793",Legler Regional,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",115 S. Pulaski Rd.,Chicago,IL,60624,(312) 746-7730,https://www.chipublib.org/locations/42/,legler@chipublib.org,(41.87934542742433,-87.72547641315548),41.87934543,-87.72547641
"-87.7246,41.8421",Toman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",2708 S. Pulaski Rd.,Chicago,IL,60623,(312) 745-1660,https://www.chipublib.org/locations/69/,toman@chipublib.org,(41.842086096760674,-87.72463965526215),41.8420861,-87.72463966
"-87.7658,41.8892",Austin,"Mon. & Wed., Noon-8; Tues. & Thurs., 10-6; Fri. & Sat., 9-5; Sun., 1-5",5615 W. Race Ave.,Chicago,IL,60644,(312) 746-5038,https://www.chipublib.org/locations/6/,austin@chipublib.org,(41.88917312206642,-87.7658203582574),41.88917312,-87.76582036
"-87.7022,41.7380",Wrightwood-Ashburn,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",8530 S. Kedzie Ave.,Chicago,IL,60652,(312) 747-2696,https://www.chipublib.org/locations/82/,wrightwood-ashburn@chipublib.org,(41.73795704970435,-87.70221598421591),41.73795705,-87.70221598
"-87.7618,41.9675",Jefferson Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",5363 W. Lawrence Ave.,Chicago,IL,60630,(312) 744-1998,https://www.chipublib.org/locations/38/,jeffersonpark@chipublib.org,(41.96750826032374,-87.76176748220928),41.96750826,-87.76176748
"-87.6735,41.8303",McKinley Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1915 W. 35th St.,Chicago,IL,60609,(312) 747-6082,https://www.chipublib.org/locations/50/,mckinleypark@chipublib.org,(41.83030074817219,-87.67349098124289),41.83030075,-87.67349098
"-87.5639,41.7625",South Shore,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2505 E. 73rd St.,Chicago,IL,60649,(312) 747-5281,https://www.chipublib.org/locations/66/,southshore@chipublib.org,(41.76254141905116,-87.56387694448408),41.76254142,-87.56387694
"-87.7822,41.7767",Clearing,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6423 W. 63rd Pl.,Chicago,IL,60638,(312) 747-5657,https://www.chipublib.org/locations/21/,clearing@chipublib.org,(41.776652677565934,-87.78218757614671),41.77665268,-87.78218758
"-87.7010,41.6930",Mount Greenwood,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",11010 S. Kedzie Ave.,Chicago,IL,60655,(312) 747-2805,https://www.chipublib.org/locations/52/,mountgreenwood@chipublib.org,(41.693015814018004,-87.70102477600602),41.69301581,-87.70102478
"-87.6542,41.9583",Uptown,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",929 W. Buena Ave.,Chicago,IL,60613,(312) 744-8400,https://www.chipublib.org/locations/70/,uptown@chipublib.org,(41.95832305807637,-87.65424744448335),41.95832306,-87.65424744
"-87.7034,41.7820",Chicago Lawn,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6120 S. Kedzie Ave.,Chicago,IL,60629,(312) 747-0639,https://www.chipublib.org/locations/19/,chicagolawn@chipublib.org,(41.7819767986214,-87.7033680880769),41.7819768,-87.70336809
"-87.6278,41.8769",Harold Washtington Library Center,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",400 S. State St.,Chicago,IL,60605,(312) 747-4300,https://www.chipublib.org/locations/34/,hwlc@chipublib.org,(41.87686252958797,-87.62779697013237),41.87686253,-87.62779697
"-87.7027,41.8152",Brighton Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4314 S. Archer Ave.,Chicago,IL,60632,(312) 747-0666,https://www.chipublib.org/locations/14/,brightonpark@chipublib.org,(41.81516027827089,-87.70273371160454),41.81516028,-87.70273371
"-87.7481,41.8951",West Chicago Avenue,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4856 W. Chicago Ave.,Chicago,IL,60634,(312) 743-0260,https://www.chipublib.org/locations/75/,westchicago@chipublib.org,(41.8950961032908,-87.74806072822989),41.8950961,-87.74806073
"-87.7050,41.8496",Little Village,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2311 S. Kedzie Ave.,Chicago,IL,60623,(312) 745-1862,https://www.chipublib.org/locations/45/,littlevillage@chipublib.org,(41.84959155873184,-87.70504118331108),41.84959156,-87.70504118
"-87.6710,41.9405",Lincoln Belmont,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",1659 W. Melrose St.,Chicago,IL,60657,(312) 744-0166,https://www.chipublib.org/locations/43/,lincolnbelmont@chipublib.org,(41.94046531149621,-87.67102536129381),41.94046531,-87.67102536
"-87.6941,41.7936",Gage Park,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2807 W. 55th St.,Chicago,IL,60632,(312) 747-0032,https://www.chipublib.org/locations/29/,gagepark@chipublib.org,(41.79357525220078,-87.69413004003073),41.79357525,-87.69413004
"-87.8142,41.9781",Oriole Park,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun.,  1-5",7454 W. Balmoral Ave.,Chicago,IL,60656,(312) 744-1965,https://www.chipublib.org/locations/57/,oriolepark@chipublib.org,(41.978098111742476,-87.81420029973704),41.97809811,-87.8142003
"-87.8140,41.9432",Dunning,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",7455 W. Cornelia Ave.,Chicago,IL,60634,(312) 743-0480,https://www.chipublib.org/locations/26/,dunning@chipublib.org,(41.94319949471892,-87.81395164414246),41.94319949,-87.81395164
"-87.6610,41.9716",Bezazian,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",1226 W. Ainslie St.,Chicago,IL,60640,(312) 744-0019,https://www.chipublib.org/locations/11/,bezazian@chipublib.org,(41.97155143669217,-87.66095347964183),41.97155144,-87.66095348
"-87.6546,41.8837",West Loop,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",122 N. Aberdeen St.,Chicago,IL,60607,(312) 744-2995,https://www.chipublib.org/locations/88/,westloop@chipublib.org,(41.8837105009142,-87.6545650515331),41.8837105,-87.65456505
"-87.7982,41.9920",Roden,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",6083 N. Northwest Hwy.,Chicago,IL,60631,(312) 744-1478,https://www.chipublib.org/locations/60/,roden@chipublib.org,(41.99199760467718,-87.79820642998901),41.9919976,-87.79820643
"-87.5657,41.7134",Jeffery Manor,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",2401 E. 100th St.,Chicago,IL,60617,(312) 747-6479,https://www.chipublib.org/locations/39/,jefferymanor@chipublib.org,(41.71340053892868,-87.56573413765888),41.71340054,-87.56573414
"-87.6226,41.8074",Hall,"Mon. & Wed., 10-6; Tues. & Thurs., Noon-8; Fri. & Sat., 9-5; Sun., 1-5",4801 S. Michigan Ave.,Chicago,IL,60615,(312) 747-2541,https://www.chipublib.org/locations/33/,hall@chipublib.org,(41.807377846345496,-87.62263720177272),41.80737785,-87.6226372
"-87.6366,41.9039",Near North,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",310 W. Division St.,Chicago,IL,60610,(312) 744-0991,https://www.chipublib.org/locations/53/,nearnorth@chipublib.org,(41.90393142178499,-87.63660775555267),41.90393142,-87.63660776
"-87.6071,41.7803",Coleman,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",731 E. 63rd St.,Chicago,IL,60637,(312) 747-7760,https://www.chipublib.org/locations/22/,coleman@chipublib.org,(41.78028267185317,-87.60712228979007),41.78028267,-87.60712229
"-87.7793,41.9531",Austin-Irving,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",6100 W. Irving Park Rd.,Chicago,IL,60634,(312) 744-6222,https://www.chipublib.org/locations/7/,austin-irving@chipublib.org,(41.95312267684315,-87.77928489355646),41.95312268,-87.77928489
"-87.6430,41.7207",Woodson Regional Library,"Mon. - Thurs., 9-8; Fri. & Sat., 9-5; Sun., 1-5",9525 S. Halsted St.,Chicago,IL,60628,(312) 747-6900,https://www.chipublib.org/locations/81/,woodsonregional@chipublib.org,(41.720694885749005,-87.64304817213312),41.72069489,-87.64304817
"-87.7380,41.9682",Mayfair,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",4400 W. Lawrence Ave.,Chicago,IL,60630,(312) 744-1254,https://www.chipublib.org/locations/49/,mayfair@chipublib.org,(41.968242773953044,-87.737968778247),41.96824277,-87.73796878
"-87.6263,41.8282",Chicago Bee,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3647 S. State St.,Chicago,IL,60609,(312) 747-6872,https://www.chipublib.org/locations/18/,chicagobee@chipublib.org,(41.82824306445502,-87.6263495444489),41.82824306,-87.62634954
"-87.6143,41.7028",Vodak-East Side,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",3710 E. 106th St.,Chicago,IL,60617,(312) 747-5500,https://www.chipublib.org/locations/71/,vodak-eastside@chipublib.org,(41.70283443594318,-87.61428978448026),41.70283444,-87.61428978
"-87.5497,41.7303",South Chicago,"Mon. & Wed., Noon-8; Tue. & Thu., 10-6; Fri. & Sat., 9-5; Sun., 1-5",9055 S. Houston Ave.,Chicago,IL,60617,(312) 747-8065,https://www.chipublib.org/locations/65/,southchicago@chipublib.org,(41.73029771500594,-87.54972658730712),41.73029772,-87.54972659
